# z=0.000677
# A_B=0.081,A_V=0.061, A_R=0.081,A_I=0
# FLT,MJD,MAG,MAGERR
B,56752.775,14.976,0.01
V,56752.776,13.115,0.01
I,56752.777,11.921,0.01
R,56752.777,12.505,0.01
B,56753.28,15.182,0.01
I,56753.28,12.058,0.01
R,56753.28,12.534,0.01
V,56753.28,13.135,0.01
B,56753.7126,15.093,0.01
V,56753.7162,13.036,0.01
B,56753.7774,15.002,0.01
V,56753.781,13.074,0.01
B,56754.758,14.942,0.01
V,56754.758,13.14,0.01
I,56754.759,11.99,0.01
R,56754.759,12.542,0.01
B,56754.8,15.248,0.01
I,56754.8,11.790,0.01
R,56754.8,12.420,0.01
V,56754.8,13.124,0.01
B,56755.26,15.225,0.01
I,56755.26,12.160,0.01
R,56755.26,12.602,0.01
V,56755.26,13.194,0.01
B,56756.754,14.973,0.01
V,56756.754,13.184,0.01
I,56756.755,12.068,0.01
R,56756.755,12.608,0.01
B,56757.043,15.132,0.01
V,56757.0466,13.232,0.01
B,56757.25,15.268,0.01
I,56757.25,12.278,0.01
R,56757.25,12.722,0.01
V,56757.25,13.266,0.01
B,56757.4424,15.104,0.01
V,56757.4461,13.175,0.01
B,56757.5146,15.014,0.01
B,56757.843,15.14,0.01
V,56757.8466,13.159,0.01
V,56758.768,13.252,0.01
B,56758.769,15.049,0.01
R,56758.769,12.679,0.01
I,56758.771,12.164,0.01
B,56760.79,15.044,0.01
R,56760.791,12.737,0.01
V,56760.791,13.308,0.01
I,56760.792,12.224,0.01
B,56761.29,15.277,0.01
I,56761.29,12.423,0.01
R,56761.29,12.801,0.01
V,56761.29,13.370,0.01
B,56762.778,15.06,0.01
V,56762.779,13.356,0.01
I,56762.78,12.333,0.01
R,56762.78,12.807,0.01
B,56763.28,15.272,0.01
I,56763.28,12.469,0.01
R,56763.28,12.884,0.01
V,56763.28,13.429,0.01
B,56764.754,15.074,0.01
V,56764.755,13.377,0.01
I,56764.756,12.33,0.01
R,56764.756,12.819,0.01
B,56765.26,15.376,0.01
I,56765.26,12.564,0.01
R,56765.26,12.932,0.01
V,56765.26,13.493,0.01
B,56766.762,15.055,0.01
V,56766.762,13.373,0.01
I,56766.763,12.315,0.01
R,56766.763,12.824,0.01
